"","x"
"1",3.27187365897631
"2",3.68645794252237
"3",3.39326076580674
"4",3.11736511842658
"5",3.10181399745246
"6",3.1184249020492
"7",3.33546910004122
"8",3.7238743956712
"9",3.26283176459213
"10",3.02724079632511
"11",3.2227405110995
"12",3.01958117484529
"13",3.78271910530687
"14",3.16643751831725
"15",3.04849513232087
"16",3.66749509669523
"17",3.44424620641858
"18",3.05389924285313
"19",3.02294280858553
"20",3.17815770969416
"21",3.89739377357832
"22",3.06349107126395
"23",3.30549240980139
"24",3.33703994687488
"25",3.08673716606184
"26",3.04387306375429
"27",3.31363468057007
"28",3.08792187630509
"29",3.08166204780961
"30",3.01241678670027
"31",3.54147202394586
"32",3.74728358828184
"33",3.03572328031684
"34",3.15750156717306
"35",3.27267914748255
"36",3.15094406328474
"37",3.10233412822708
"38",3.12803863314912
"39",3.10283585214904
"40",3.29432754589707
"41",3.25095589395454
"42",3.02177796665902
"43",3.50378517617465
"44",3.35284373659482
"45",4.12342447036864
"46",3.07059063964213
"47",3.01424886632856
"48",3.39696526743313
"49",3.50751825543424
"50",4.08429740115366
"51",3.33228804954263
"52",3.25730491893828
"53",3.4554524331524
"54",3.45759576049461
"55",3.12495340250886
"56",3.07770491225536
"57",3.20836103862772
"58",3.07358133839443
"59",3.64751884586792
"60",3.46732742336572
"61",3.29666992772212
"62",3.61535005020281
"63",3.11010041413829
"64",3.358091979584
"65",4.13096328074099
"66",3.14787995151835
"67",3.26272861691879
"68",3.02062105684969
"69",3.36709568120476
"70",4.39343597868215
"71",3.71832473106976
"72",3.0753198803092
"73",3.55464861973803
"74",3.57300453450393
"75",3.04881180108835
"76",3.31295890018185
"77",3.45926994114956
"78",3.23896898886888
"79",3.32493339672315
"80",3.337421993711
"81",3.59007576850236
"82",3.48441155997098
"83",3.04410539158693
"84",3.28396161737383
"85",3.0058454987593
"86",3.28264106591987
"87",3.2006234304669
"88",3.19132681951548
"89",3.37577717408379
"90",3.04963606925545
"91",3.56235805444874
"92",3.06938808329187
"93",3.19688416908806
"94",3.3234059859236
"95",3.29640480439137
"96",3.32052872599167
"97",4.03744567676744
"98",3.2291116892981
"99",3.47458651783249
"100",3.36140091871063
"101",3.01856811810285
"102",3.30308385121959
"103",3.28626059925646
"104",3.12722520111129
"105",3.11010325566028
"106",3.68564165132424
"107",3.22448854660615
"108",3.2418292434067
"109",3.06759770059337
"110",3.01024559962874
"111",3.19045789462204
"112",3.43762751481027
"113",3.12132306629792
"114",3.00239232135937
"115",3.10461295830707
"116",3.6709450892824
"117",3.63336895251677
"118",3.2611872429509
"119",3.54477439134996
"120",3.06314287157674
"121",3.57084426964006
"122",3.09345341070245
"123",3.39109046314941
"124",3.91224531638892
